daily_vaccinations,daily_vaccinations_per_million,Cluster
867.0,302.0,1
838.0,292.0,1
808.0,281.0,1
820.0,285.0,1
831.0,289.0,1
857.0,298.0,1
883.0,307.0,1
1042.0,363.0,1
1201.0,418.0,1
1361.0,474.0,1
1520.0,529.0,1
1679.0,584.0,1
1960.0,682.0,1
2240.0,780.0,1
2386.0,831.0,1
2533.0,882.0,1
2679.0,932.0,1
2895.0,1008.0,1
2946.0,1025.0,1
3287.0,1144.0,1
3276.0,1140.0,1
3113.0,1084.0,1
4678.0,1628.0,1
7204.0,2508.0,1
9662.0,3363.0,1
12122.0,4219.0,1
13731.0,4779.0,1
15748.0,5482.0,0
17346.0,6038.0,0
16412.0,5713.0,0
15435.0,5373.0,0
14610.0,5085.0,1
13362.0,4651.0,1
12440.0,4330.0,1
11170.0,3888.0,1
10188.0,3546.0,1
9898.0,3445.0,1
8689.0,3024.0,1
8518.0,2965.0,1
8639.0,3007.0,1
8849.0,3080.0,1
9135.0,3180.0,1
9719.0,3383.0,1
10105.0,3517.0,1
11200.0,3898.0,1
9826.0,3420.0,1
11318.0,3940.0,1
11216.0,3904.0,1
10961.0,3815.0,1
10746.0,3740.0,1
10205.0,3552.0,1
8955.0,3117.0,1
9551.0,3324.0,1
8793.0,3061.0,1
10036.0,3493.0,1
12222.0,4254.0,1
13423.0,4672.0,1
14489.0,5043.0,1
15555.0,5414.0,0
17219.0,5994.0,0
17565.0,6114.0,0
16997.0,5916.0,0
15541.0,5409.0,0
14677.0,5109.0,1
13462.0,4686.0,1
13637.0,4747.0,1
12160.0,4233.0,1
10870.0,3784.0,1
9445.0,3288.0,1
9662.0,3363.0,1
9355.0,3256.0,1
10166.0,3539.0,1
9589.0,3338.0,1
9491.0,3304.0,1
9305.0,3239.0,1
9344.0,3252.0,1
7931.0,2761.0,1
7212.0,2510.0,1
6493.0,2260.0,1
6436.0,2240.0,1
6873.0,2392.0,1
7311.0,2545.0,1
7900.0,2750.0,1
7798.0,2714.0,1
7869.0,2739.0,1
7941.0,2764.0,1
7332.0,2552.0,1
6183.0,2152.0,1
4978.0,1733.0,1
4040.0,1406.0,1
3951.0,1375.0,1
3863.0,1345.0,1
3774.0,1314.0,1
3889.0,1354.0,1
4236.0,1474.0,1
4675.0,1627.0,1
5105.0,1777.0,1
5599.0,1949.0,1
5716.0,1990.0,1
5401.0,1880.0,1
5550.0,1932.0,1
5491.0,1911.0,1
5382.0,1873.0,1
5654.0,1968.0,1
5492.0,1912.0,1
5707.0,1986.0,1
6355.0,2212.0,1
6788.0,2363.0,1
7571.0,2635.0,1
8378.0,2916.0,1
8608.0,2996.0,1
8472.0,2949.0,1
8335.0,2901.0,1
8198.0,2854.0,1
7627.0,2655.0,1
7724.0,2689.0,1
7880.0,2743.0,1
7371.0,2566.0,1
7639.0,2659.0,1
7409.0,2579.0,1
7178.0,2498.0,1
7235.0,2518.0,1
6366.0,2216.0,1
5376.0,1871.0,1
5259.0,1831.0,1
5008.0,1743.0,1
5198.0,1809.0,1
4893.0,1703.0,1
5022.0,1748.0,1
5086.0,1770.0,1
5405.0,1881.0,1
5830.0,2029.0,1
6213.0,2163.0,1
6532.0,2274.0,1
6652.0,2315.0,1
6666.0,2320.0,1
6680.0,2325.0,1
7422.0,2583.0,1
8240.0,2868.0,1
8486.0,2954.0,1
8853.0,3082.0,1
9915.0,3451.0,1
10447.0,3636.0,1
10978.0,3821.0,1
10581.0,3683.0,1
9998.0,3480.0,1
10200.0,3550.0,1
9975.0,3472.0,1
9188.0,3198.0,1
9106.0,3170.0,1
8910.0,3101.0,1
8555.0,2978.0,1
8324.0,2897.0,1
7785.0,2710.0,1
7673.0,2671.0,1
8124.0,2828.0,1
8191.0,2851.0,1
8371.0,2914.0,1
8679.0,3021.0,1
8863.0,3085.0,1
9236.0,3215.0,1
8993.0,3130.0,1
8749.0,3045.0,1
8666.0,3016.0,1
8586.0,2989.0,1
8447.0,2940.0,1
8307.0,2891.0,1
7970.0,2774.0,1
8250.0,2872.0,1
7938.0,2763.0,1
7994.0,2783.0,1
8007.0,2787.0,1
8053.0,2803.0,1
8240.0,2868.0,1
8884.0,3092.0,1
9003.0,3134.0,1
9714.0,3381.0,1
10191.0,3547.0,1
10847.0,3776.0,1
11371.0,3958.0,1
11999.0,4177.0,1
11679.0,4065.0,1
11885.0,4137.0,1
12091.0,4209.0,1
11598.0,4037.0,1
11616.0,4043.0,1
11723.0,4080.0,1
11358.0,3953.0,1
11406.0,3970.0,1
11233.0,3910.0,1
10308.0,3588.0,1
10132.0,3527.0,1
9212.0,3206.0,1
8332.0,2900.0,1
7655.0,2665.0,1
7238.0,2519.0,1
6695.0,2330.0,1
6905.0,2403.0,1
6777.0,2359.0,1
6783.0,2361.0,1
6922.0,2409.0,1
7237.0,2519.0,1
7617.0,2651.0,1
7955.0,2769.0,1
8294.0,2887.0,1
8220.0,2861.0,1
8344.0,2904.0,1
8351.0,2907.0,1
8247.0,2871.0,1
7936.0,2762.0,1
7899.0,2749.0,1
7491.0,2607.0,1
7083.0,2465.0,1
6792.0,2364.0,1
6506.0,2265.0,1
6087.0,2119.0,1
5784.0,2013.0,1
5616.0,1955.0,1
5600.0,1949.0,1
5584.0,1944.0,1
5556.0,1934.0,1
5498.0,1914.0,1
5381.0,1873.0,1
5304.0,1846.0,1
5205.0,1812.0,1
5326.0,1854.0,1
5552.0,1933.0,1
5457.0,1899.0,1
5434.0,1891.0,1
5527.0,1924.0,1
5603.0,1950.0,1
5448.0,1896.0,1
5292.0,1842.0,1
5247.0,1826.0,1
5226.0,1819.0,1
5204.0,1811.0,1
5188.0,1806.0,1
5126.0,1784.0,1
4940.0,1719.0,1
4754.0,1655.0,1
4353.0,1515.0,1
4717.0,1642.0,1
5080.0,1768.0,1
5139.0,1789.0,1
5261.0,1831.0,1
5739.0,1998.0,1
5709.0,1987.0,1
6485.0,2257.0,1
6447.0,2244.0,1
6481.0,2256.0,1
6800.0,2367.0,1
6886.0,2397.0,1
6972.0,2427.0,1
7565.0,2633.0,1
7611.0,2649.0,1
7656.0,2665.0,1
7655.0,2665.0,1
7648.0,2662.0,1
7491.0,2607.0,1
7334.0,2553.0,1
7177.0,2498.0,1
7132.0,2482.0,1
7087.0,2467.0,1
7016.0,2442.0,1
6859.0,2387.0,1
6790.0,2363.0,1
6720.0,2339.0,1
6651.0,2315.0,1
5788.0,2015.0,1
4925.0,1714.0,1
5304.0,1846.0,1
5639.0,1963.0,1
6271.0,2183.0,1
6347.0,2209.0,1
6424.0,2236.0,1
7442.0,2590.0,1
8594.0,2991.0,1
7773.0,2706.0,1
7491.0,2607.0,1
7209.0,2509.0,1
7482.0,2604.0,1
7755.0,2699.0,1
7861.0,2736.0,1
7886.0,2745.0,1
8580.0,2986.0,1
8689.0,3024.0,1
8798.0,3062.0,1
8907.0,3100.0,1
8767.0,3052.0,1
8276.0,2881.0,1
7731.0,2691.0,1
7444.0,2591.0,1
7389.0,2572.0,1
7078.0,2464.0,1
6768.0,2356.0,1
6706.0,2334.0,1
6645.0,2313.0,1
6583.0,2291.0,1
6271.0,2183.0,1
5958.0,2074.0,1
5901.0,2054.0,1
5843.0,2034.0,1
5785.0,2014.0,1
5727.0,1993.0,1
5669.0,1973.0,1
6471.0,2252.0,1
7120.0,2478.0,1
7769.0,2704.0,1
8418.0,2930.0,1
8502.0,2959.0,1
8587.0,2989.0,1
9063.0,3155.0,1
8233.0,2866.0,1
7556.0,2630.0,1
6879.0,2394.0,1
6202.0,2159.0,1
6089.0,2119.0,1
5976.0,2080.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
5471.0,1904.0,1
11055.0,3848.0,1
16639.0,5792.0,0
16474.0,5734.0,0
16309.0,5677.0,0
16144.0,5619.0,0
15979.0,5562.0,0
15813.0,5504.0,0
10183.0,3544.0,1
4348.0,1513.0,1
4263.0,1484.0,1
4178.0,1454.0,1
4093.0,1425.0,1
4008.0,1395.0,1
3923.0,1366.0,1
3754.0,1307.0,1
3779.0,1315.0,1
3746.0,1304.0,1
3591.0,1250.0,1
3436.0,1196.0,1
3280.0,1142.0,1
3125.0,1088.0,1
2945.0,1025.0,1
2775.0,966.0,1
2663.0,927.0,1
2673.0,930.0,1
2683.0,934.0,1
2693.0,937.0,1
2703.0,941.0,1
2741.0,954.0,1
2779.0,967.0,1
2740.0,954.0,1
2700.0,940.0,1
2661.0,926.0,1
2622.0,913.0,1
2583.0,899.0,1
2506.0,872.0,1
2407.0,838.0,1
2385.0,830.0,1
2363.0,823.0,1
2207.0,768.0,1
2051.0,714.0,1
1895.0,660.0,1
1739.0,605.0,1
1777.0,619.0,1
1712.0,596.0,1
1647.0,573.0,1
1716.0,597.0,1
1785.0,621.0,1
1854.0,645.0,1
1923.0,669.0,1
1821.0,634.0,1
1821.0,634.0,1
1821.0,634.0,1
,,1
30.0,1.0,1
1889.0,42.0,1
2509.0,56.0,1
2819.0,63.0,1
3005.0,67.0,1
3129.0,70.0,1
3217.0,72.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
3748.0,84.0,1
6409.0,144.0,1
9069.0,203.0,1
11729.0,263.0,1
14389.0,323.0,1
17049.0,382.0,1
19709.0,442.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
