location,date,vaccine,total_vaccinations
Argentina,01-03-2021,CanSino,3
Argentina,01-03-2021,Moderna,2
Argentina,01-03-2021,Oxford/AstraZeneca,316821
Argentina,01-03-2021,Sinopharm/Beijing,823
Argentina,01-03-2021,Sputnik V,1030908
Argentina,02-03-2021,CanSino,3
Argentina,02-03-2021,Moderna,2
Argentina,02-03-2021,Oxford/AstraZeneca,368429
Argentina,02-03-2021,Sinopharm/Beijing,5775
Argentina,02-03-2021,Sputnik V,1049929
Argentina,03-03-2021,CanSino,3
Argentina,03-03-2021,Moderna,2
Argentina,03-03-2021,Oxford/AstraZeneca,404366
Argentina,03-03-2021,Sinopharm/Beijing,23601
Argentina,03-03-2021,Sputnik V,1067596
Argentina,04-03-2021,CanSino,3
Argentina,04-03-2021,Moderna,2
Argentina,04-03-2021,Oxford/AstraZeneca,430061
Argentina,04-03-2021,Sinopharm/Beijing,87899
Argentina,04-03-2021,Sputnik V,1089649
Argentina,05-03-2021,CanSino,3
Argentina,05-03-2021,Moderna,2
Argentina,05-03-2021,Oxford/AstraZeneca,454341
Argentina,05-03-2021,Sinopharm/Beijing,154403
Argentina,05-03-2021,Sputnik V,1110584
Argentina,06-03-2021,CanSino,3
Argentina,06-03-2021,Moderna,2
Argentina,06-03-2021,Oxford/AstraZeneca,462250
Argentina,06-03-2021,Sinopharm/Beijing,196825
Argentina,06-03-2021,Sputnik V,1115182
Argentina,07-03-2021,CanSino,3
Argentina,07-03-2021,Moderna,2
Argentina,07-03-2021,Oxford/AstraZeneca,467234
Argentina,07-03-2021,Sinopharm/Beijing,203265
Argentina,07-03-2021,Sputnik V,1115559
Argentina,08-03-2021,CanSino,3
Argentina,08-03-2021,Moderna,2
Argentina,08-03-2021,Oxford/AstraZeneca,498797
Argentina,08-03-2021,Pfizer/BioNTech,1
Argentina,08-03-2021,Sinopharm/Beijing,256191
Argentina,08-03-2021,Sputnik V,1133531
Argentina,09-03-2021,CanSino,3
Argentina,09-03-2021,Moderna,2
Argentina,09-03-2021,Oxford/AstraZeneca,515123
Argentina,09-03-2021,Pfizer/BioNTech,1
Argentina,09-03-2021,Sinopharm/Beijing,319299
Argentina,09-03-2021,Sputnik V,1169871
Argentina,10-03-2021,CanSino,3
Argentina,10-03-2021,Moderna,2
Argentina,10-03-2021,Oxford/AstraZeneca,527198
Argentina,10-03-2021,Pfizer/BioNTech,1
Argentina,10-03-2021,Sinopharm/Beijing,418012
Argentina,10-03-2021,Sputnik V,1223016
Argentina,11-03-2021,CanSino,3
Argentina,11-03-2021,Moderna,2
Argentina,11-03-2021,Oxford/AstraZeneca,537131
Argentina,11-03-2021,Pfizer/BioNTech,1
Argentina,11-03-2021,Sinopharm/Beijing,502877
Argentina,11-03-2021,Sputnik V,1315000
Argentina,12-03-2021,CanSino,3
Argentina,12-03-2021,Moderna,2
Argentina,12-03-2021,Oxford/AstraZeneca,544648
Argentina,12-03-2021,Pfizer/BioNTech,1
Argentina,12-03-2021,Sinopharm/Beijing,564007
Argentina,12-03-2021,Sputnik V,1407959
Argentina,13-03-2021,CanSino,3
Argentina,13-03-2021,Moderna,2
Argentina,13-03-2021,Oxford/AstraZeneca,547621
Argentina,13-03-2021,Pfizer/BioNTech,1
Argentina,13-03-2021,Sinopharm/Beijing,574509
Argentina,13-03-2021,Sputnik V,1440857
Argentina,14-03-2021,CanSino,3
Argentina,14-03-2021,Moderna,2
Argentina,14-03-2021,Oxford/AstraZeneca,547670
Argentina,14-03-2021,Pfizer/BioNTech,1
Argentina,14-03-2021,Sinopharm/Beijing,581164
Argentina,14-03-2021,Sputnik V,1443321
Argentina,15-03-2021,CanSino,3
Argentina,15-03-2021,Moderna,2
Argentina,15-03-2021,Oxford/AstraZeneca,554085
Argentina,15-03-2021,Pfizer/BioNTech,1
Argentina,15-03-2021,Sinopharm/Beijing,621768
Argentina,15-03-2021,Sputnik V,1533852
Argentina,16-03-2021,CanSino,3
Argentina,16-03-2021,Moderna,2
Argentina,16-03-2021,Oxford/AstraZeneca,557201
Argentina,16-03-2021,Pfizer/BioNTech,1
Argentina,16-03-2021,Sinopharm/Beijing,656429
Argentina,16-03-2021,Sputnik V,1629754
Argentina,17-03-2021,CanSino,3
Argentina,17-03-2021,Moderna,2
Argentina,17-03-2021,Oxford/AstraZeneca,559905
Argentina,17-03-2021,Pfizer/BioNTech,1
Argentina,17-03-2021,Sinopharm/Beijing,679387
Argentina,17-03-2021,Sputnik V,1743617
Argentina,18-03-2021,CanSino,3
Argentina,18-03-2021,Moderna,2
Argentina,18-03-2021,Oxford/AstraZeneca,561589
Argentina,18-03-2021,Pfizer/BioNTech,1
Argentina,18-03-2021,Sinopharm/Beijing,701526
Argentina,18-03-2021,Sputnik V,1858704
Argentina,19-03-2021,CanSino,3
Argentina,19-03-2021,Moderna,2
Argentina,19-03-2021,Oxford/AstraZeneca,563430
Argentina,19-03-2021,Pfizer/BioNTech,2
Argentina,19-03-2021,Sinopharm/Beijing,725122
Argentina,19-03-2021,Sputnik V,1959408
Argentina,20-03-2021,CanSino,3
Argentina,20-03-2021,Moderna,2
Argentina,20-03-2021,Oxford/AstraZeneca,563767
Argentina,20-03-2021,Pfizer/BioNTech,2
Argentina,20-03-2021,Sinopharm/Beijing,729059
Argentina,20-03-2021,Sputnik V,2005991
Argentina,21-03-2021,CanSino,3
Argentina,21-03-2021,Moderna,2
Argentina,21-03-2021,Oxford/AstraZeneca,563789
Argentina,21-03-2021,Pfizer/BioNTech,2
Argentina,21-03-2021,Sinopharm/Beijing,729408
Argentina,21-03-2021,Sputnik V,2025244
Argentina,22-03-2021,CanSino,3
Argentina,22-03-2021,Moderna,2
Argentina,22-03-2021,Oxford/AstraZeneca,565252
Argentina,22-03-2021,Pfizer/BioNTech,2
Argentina,22-03-2021,Sinopharm/Beijing,746793
Argentina,22-03-2021,Sputnik V,2089411
Argentina,23-03-2021,CanSino,3
Argentina,23-03-2021,Moderna,2
Argentina,23-03-2021,Oxford/AstraZeneca,569940
Argentina,23-03-2021,Pfizer/BioNTech,2
Argentina,23-03-2021,Sinopharm/Beijing,760339
Argentina,23-03-2021,Sputnik V,2177600
Argentina,24-03-2021,CanSino,3
Argentina,24-03-2021,Moderna,2
Argentina,24-03-2021,Oxford/AstraZeneca,571216
Argentina,24-03-2021,Pfizer/BioNTech,2
Argentina,24-03-2021,Sinopharm/Beijing,763475
Argentina,24-03-2021,Sputnik V,2210640
Argentina,25-03-2021,CanSino,3
Argentina,25-03-2021,Moderna,2
Argentina,25-03-2021,Oxford/AstraZeneca,572564
Argentina,25-03-2021,Pfizer/BioNTech,2
Argentina,25-03-2021,Sinopharm/Beijing,774370
Argentina,25-03-2021,Sputnik V,2301558
Argentina,26-03-2021,CanSino,3
Argentina,26-03-2021,Moderna,2
Argentina,26-03-2021,Oxford/AstraZeneca,575204
Argentina,26-03-2021,Pfizer/BioNTech,2
Argentina,26-03-2021,Sinopharm/Beijing,783534
Argentina,26-03-2021,Sputnik V,2383288
Argentina,27-03-2021,CanSino,3
Argentina,27-03-2021,Moderna,2
Argentina,27-03-2021,Oxford/AstraZeneca,576091
Argentina,27-03-2021,Pfizer/BioNTech,2
Argentina,27-03-2021,Sinopharm/Beijing,785838
Argentina,27-03-2021,Sputnik V,2435164
Argentina,28-03-2021,CanSino,3
Argentina,28-03-2021,Moderna,2
Argentina,28-03-2021,Oxford/AstraZeneca,576984
Argentina,28-03-2021,Pfizer/BioNTech,2
Argentina,28-03-2021,Sinopharm/Beijing,786314
Argentina,28-03-2021,Sputnik V,2454605
Argentina,29-03-2021,CanSino,3
Argentina,29-03-2021,Moderna,2
Argentina,29-03-2021,Oxford/AstraZeneca,580558
Argentina,29-03-2021,Pfizer/BioNTech,3
Argentina,29-03-2021,Sinopharm/Beijing,797817
Argentina,29-03-2021,Sputnik V,2559688
Argentina,30-03-2021,CanSino,3
Argentina,30-03-2021,Moderna,2
Argentina,30-03-2021,Oxford/AstraZeneca,583420
Argentina,30-03-2021,Pfizer/BioNTech,3
Argentina,30-03-2021,Sinopharm/Beijing,808319
Argentina,30-03-2021,Sputnik V,2709297
Argentina,31-03-2021,CanSino,3
Argentina,31-03-2021,Moderna,2
Argentina,31-03-2021,Oxford/AstraZeneca,603350
Argentina,31-03-2021,Pfizer/BioNTech,3
Argentina,31-03-2021,Sinopharm/Beijing,820316
Argentina,31-03-2021,Sputnik V,2852266
Argentina,01-04-2021,CanSino,3
Argentina,01-04-2021,Moderna,2
Argentina,01-04-2021,Oxford/AstraZeneca,628906
Argentina,01-04-2021,Pfizer/BioNTech,3
Argentina,01-04-2021,Sinopharm/Beijing,824077
Argentina,01-04-2021,Sputnik V,2940071
Argentina,02-04-2021,CanSino,3
Argentina,02-04-2021,Moderna,2
Argentina,02-04-2021,Oxford/AstraZeneca,641722
Argentina,02-04-2021,Pfizer/BioNTech,3
Argentina,02-04-2021,Sinopharm/Beijing,826393
Argentina,02-04-2021,Sputnik V,2993077
Argentina,03-04-2021,CanSino,3
Argentina,03-04-2021,Moderna,2
Argentina,03-04-2021,Oxford/AstraZeneca,660365
Argentina,03-04-2021,Pfizer/BioNTech,3
Argentina,03-04-2021,Sinopharm/Beijing,827494
Argentina,03-04-2021,Sputnik V,3047816
Argentina,04-04-2021,CanSino,3
Argentina,04-04-2021,Moderna,3
Argentina,04-04-2021,Oxford/AstraZeneca,674751
Argentina,04-04-2021,Pfizer/BioNTech,3
Argentina,04-04-2021,Sinopharm/Beijing,829152
Argentina,04-04-2021,Sputnik V,3080238
Argentina,05-04-2021,CanSino,3
Argentina,05-04-2021,Moderna,3
Argentina,05-04-2021,Oxford/AstraZeneca,708565
Argentina,05-04-2021,Pfizer/BioNTech,3
Argentina,05-04-2021,Sinopharm/Beijing,858270
Argentina,05-04-2021,Sputnik V,3183254
Argentina,06-04-2021,CanSino,3
Argentina,06-04-2021,Moderna,3
Argentina,06-04-2021,Oxford/AstraZeneca,734996
Argentina,06-04-2021,Pfizer/BioNTech,3
Argentina,06-04-2021,Sinopharm/Beijing,933397
Argentina,06-04-2021,Sputnik V,3275628
Argentina,07-04-2021,CanSino,3
Argentina,07-04-2021,Moderna,3
Argentina,07-04-2021,Oxford/AstraZeneca,765212
Argentina,07-04-2021,Pfizer/BioNTech,3
Argentina,07-04-2021,Sinopharm/Beijing,1051677
Argentina,07-04-2021,Sputnik V,3365425
Argentina,08-04-2021,CanSino,3
Argentina,08-04-2021,Moderna,3
Argentina,08-04-2021,Oxford/AstraZeneca,789287
Argentina,08-04-2021,Pfizer/BioNTech,4
Argentina,08-04-2021,Sinopharm/Beijing,1181911
Argentina,08-04-2021,Sputnik V,3446976
Argentina,09-04-2021,CanSino,3
Argentina,09-04-2021,Moderna,3
Argentina,09-04-2021,Oxford/AstraZeneca,807618
Argentina,09-04-2021,Pfizer/BioNTech,4
Argentina,09-04-2021,Sinopharm/Beijing,1329450
Argentina,09-04-2021,Sputnik V,3521447
Argentina,10-04-2021,CanSino,3
Argentina,10-04-2021,Moderna,3
Argentina,10-04-2021,Oxford/AstraZeneca,812431
Argentina,10-04-2021,Pfizer/BioNTech,4
Argentina,10-04-2021,Sinopharm/Beijing,1383431
Argentina,10-04-2021,Sputnik V,3555576
Argentina,11-04-2021,CanSino,3
Argentina,11-04-2021,Moderna,3
Argentina,11-04-2021,Oxford/AstraZeneca,813297
Argentina,11-04-2021,Pfizer/BioNTech,4
Argentina,11-04-2021,Sinopharm/Beijing,1416282
Argentina,11-04-2021,Sputnik V,3570164
Argentina,12-04-2021,CanSino,3
Argentina,12-04-2021,Moderna,3
Argentina,12-04-2021,Oxford/AstraZeneca,823183
Argentina,12-04-2021,Pfizer/BioNTech,4
Argentina,12-04-2021,Sinopharm/Beijing,1511610
Argentina,12-04-2021,Sputnik V,3646718
Argentina,13-04-2021,CanSino,3
Argentina,13-04-2021,Moderna,4
Argentina,13-04-2021,Oxford/AstraZeneca,831511
Argentina,13-04-2021,Pfizer/BioNTech,4
Argentina,13-04-2021,Sinopharm/Beijing,1594021
Argentina,13-04-2021,Sputnik V,3741951
Argentina,14-04-2021,CanSino,3
Argentina,14-04-2021,Moderna,4
Argentina,14-04-2021,Oxford/AstraZeneca,837942
Argentina,14-04-2021,Pfizer/BioNTech,4
Argentina,14-04-2021,Sinopharm/Beijing,1661351
Argentina,14-04-2021,Sputnik V,3839798
Argentina,15-04-2021,CanSino,3
Argentina,15-04-2021,Moderna,4
Argentina,15-04-2021,Oxford/AstraZeneca,842122
Argentina,15-04-2021,Pfizer/BioNTech,4
Argentina,15-04-2021,Sinopharm/Beijing,1712489
Argentina,15-04-2021,Sputnik V,3935497
Argentina,16-04-2021,CanSino,3
Argentina,16-04-2021,Moderna,4
Argentina,16-04-2021,Oxford/AstraZeneca,845404
Argentina,16-04-2021,Pfizer/BioNTech,4
Argentina,16-04-2021,Sinopharm/Beijing,1758562
Argentina,16-04-2021,Sputnik V,4009800
Argentina,17-04-2021,CanSino,3
Argentina,17-04-2021,Moderna,4
Argentina,17-04-2021,Oxford/AstraZeneca,846289
Argentina,17-04-2021,Pfizer/BioNTech,4
Argentina,17-04-2021,Sinopharm/Beijing,1774666
Argentina,17-04-2021,Sputnik V,4038508
Argentina,18-04-2021,CanSino,3
Argentina,18-04-2021,Moderna,4
Argentina,18-04-2021,Oxford/AstraZeneca,847565
Argentina,18-04-2021,Pfizer/BioNTech,4
Argentina,18-04-2021,Sinopharm/Beijing,1776927
Argentina,18-04-2021,Sputnik V,4054872
Argentina,19-04-2021,CanSino,3
Argentina,19-04-2021,Moderna,4
Argentina,19-04-2021,Oxford/AstraZeneca,862952
Argentina,19-04-2021,Pfizer/BioNTech,5
Argentina,19-04-2021,Sinopharm/Beijing,1801870
Argentina,19-04-2021,Sputnik V,4104987
Argentina,20-04-2021,CanSino,3
Argentina,20-04-2021,Moderna,4
Argentina,20-04-2021,Oxford/AstraZeneca,915459
Argentina,20-04-2021,Pfizer/BioNTech,5
Argentina,20-04-2021,Sinopharm/Beijing,1825885
Argentina,20-04-2021,Sputnik V,4151119
Argentina,21-04-2021,CanSino,4
Argentina,21-04-2021,Moderna,4
Argentina,21-04-2021,Oxford/AstraZeneca,1035692
Argentina,21-04-2021,Pfizer/BioNTech,5
Argentina,21-04-2021,Sinopharm/Beijing,1847077
Argentina,21-04-2021,Sputnik V,4183585
Argentina,22-04-2021,CanSino,6
Argentina,22-04-2021,Moderna,4
Argentina,22-04-2021,Oxford/AstraZeneca,1152947
Argentina,22-04-2021,Pfizer/BioNTech,5
Argentina,22-04-2021,Sinopharm/Beijing,1862605
Argentina,22-04-2021,Sputnik V,4228893
Argentina,23-04-2021,CanSino,6
Argentina,23-04-2021,Moderna,4
Argentina,23-04-2021,Oxford/AstraZeneca,1271229
Argentina,23-04-2021,Pfizer/BioNTech,5
Argentina,23-04-2021,Sinopharm/Beijing,1876691
Argentina,23-04-2021,Sputnik V,4291018
Argentina,24-04-2021,CanSino,6
Argentina,24-04-2021,Moderna,4
Argentina,24-04-2021,Oxford/AstraZeneca,1325078
Argentina,24-04-2021,Pfizer/BioNTech,5
Argentina,24-04-2021,Sinopharm/Beijing,1878260
Argentina,24-04-2021,Sputnik V,4327803
